4661 東証1部 (株)オリエンタルランド（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","7260","7331","7132","7154","976900","7154"
"2016-01-05","7136","7283","7131","7258","1101500","7258"
"2016-01-06","7330","7410","7284","7389","1870100","7389"
"2016-01-07","7394","7529","7390","7473","2264300","7473"
"2016-01-08","7402","7489","7307","7355","1376200","7355"
"2016-01-12","7304","7392","7137","7137","1315200","7137"
"2016-01-13","7360","7500","7308","7485","1470100","7485"
"2016-01-14","7314","7357","7132","7282","1525500","7282"
"2016-01-15","7370","7475","7295","7366","1403500","7366"
"2016-01-18","7216","7410","7211","7378","1249100","7378"
"2016-01-19","7316","7393","7160","7237","1273400","7237"
"2016-01-20","7206","7242","6980","6996","1168200","6996"
"2016-01-21","7000","7187","6850","6851","1433100","6851"
"2016-01-22","7051","7133","6906","7118","1246600","7118"
"2016-01-25","7221","7333","7212","7290","873000","7290"
"2016-01-26","7170","7229","7132","7143","640000","7143"
"2016-01-27","7258","7288","7170","7220","878800","7220"
"2016-01-28","7200","7210","7103","7123","932400","7123"
"2016-01-29","7339","7650","7321","7623","3216800","7623"
"2016-02-01","7723","7999","7704","7980","2212100","7980"
"2016-02-02","7945","8199","7900","7990","2341500","7990"
"2016-02-03","7950","8099","7845","7933","1756600","7933"
"2016-02-04","7859","7884","7705","7711","1430300","7711"
"2016-02-05","7601","7644","7479","7587","1203100","7587"
"2016-02-08","7598","7847","7553","7809","1440200","7809"
"2016-02-09","8083","8146","7864","8000","3630700","8000"
"2016-02-10","8068","8190","7984","8070","3060800","8070"
"2016-02-12","7792","7862","7562","7650","2283400","7650"
"2016-02-15","8000","8186","7930","8145","2200200","8145"
"2016-02-16","8050","8083","7943","7996","1872700","7996"
"2016-02-17","7939","8026","7760","7935","2205800","7935"
"2016-02-18","8035","8144","7962","8000","1725100","8000"
"2016-02-19","7982","8010","7793","7852","1412200","7852"
"2016-02-22","7846","8069","7828","8010","1138300","8010"
"2016-02-23","8010","8025","7745","7783","1285700","7783"
"2016-02-24","7750","7940","7730","7855","957900","7855"
"2016-02-25","7801","7939","7797","7908","845400","7908"
"2016-02-26","7871","7937","7811","7870","891700","7870"
"2016-02-29","7955","7959","7729","7729","1226400","7729"
"2016-03-01","7777","7915","7777","7869","995600","7869"
"2016-03-02","8000","8195","7981","8185","2247500","8185"
"2016-03-03","8194","8237","8118","8171","1024400","8171"
"2016-03-04","8103","8172","7921","8010","1452700","8010"
"2016-03-07","7970","7989","7894","7926","739600","7926"
"2016-03-08","7900","7969","7790","7938","1128800","7938"
"2016-03-09","7900","7980","7811","7825","828200","7825"
"2016-03-10","7901","7946","7863","7929","534200","7929"
"2016-03-11","7879","7980","7820","7940","981700","7940"
"2016-03-14","8003","8058","7840","7884","1121300","7884"
"2016-03-15","7883","7974","7844","7926","793500","7926"
"2016-03-16","7862","7981","7862","7922","515200","7922"
"2016-03-17","7923","7995","7854","7913","761800","7913"
"2016-03-18","7851","7968","7754","7961","1347300","7961"
"2016-03-22","7956","8063","7906","8046","1079500","8046"
"2016-03-23","8058","8115","8053","8087","780300","8087"
"2016-03-24","8087","8200","8048","8168","1102900","8168"
"2016-03-25","8180","8226","8091","8116","930600","8116"
"2016-03-28","8134","8179","8042","8129","1514000","8129"
"2016-03-29","8090","8090","7937","8049","1186600","8049"
"2016-03-30","8040","8167","8028","8095","833700","8095"
"2016-03-31","8100","8108","7970","7970","1120500","7970"
"2016-04-01","8025","8049","7843","7886","1511200","7886"
"2016-04-04","7878","8028","7833","7873","883800","7873"
"2016-04-05","7799","7800","7469","7536","1631300","7536"
"2016-04-06","7748","7773","7570","7762","1410900","7762"
"2016-04-07","7810","7911","7662","7766","1005900","7766"
"2016-04-08","7629","7849","7581","7788","988900","7788"
"2016-04-11","7770","7785","7641","7687","695600","7687"
"2016-04-12","7658","7749","7640","7689","589600","7689"
"2016-04-13","7738","7742","7631","7675","1075300","7675"
"2016-04-14","7738","7835","7701","7826","1310000","7826"
"2016-04-15","7716","7754","7669","7701","1308200","7701"
"2016-04-18","7567","7629","7530","7600","841000","7600"
"2016-04-19","7727","7786","7682","7749","708900","7749"
"2016-04-20","7780","7840","7660","7686","855800","7686"
"2016-04-21","7750","7750","7678","7737","799800","7737"
"2016-04-22","7711","7906","7710","7901","1106900","7901"
"2016-04-25","7893","7893","7809","7820","741500","7820"
"2016-04-26","7810","7888","7787","7854","717000","7854"
