1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
"2018-05-01","23270","23330","23220","23320","22542","23320"
"2018-05-02","23360","23360","23230","23260","16673","23260"
"2018-05-07","23320","23320","23140","23280","36226","23280"
"2018-05-08","23230","23370","23220","23310","26431","23310"
"2018-05-09","23260","23280","23170","23210","15860","23210"
"2018-05-10","23290","23330","23210","23310","33151","23310"
"2018-05-11","23370","23590","23370","23590","63408","23590"
"2018-05-14","23580","23710","23550","23700","42580","23700"
"2018-05-15","23710","23730","23610","23620","34696","23620"
"2018-05-16","23530","23600","23510","23530","68863","23530"
"2018-05-17","23630","23700","23610","23660","43839","23660"
"2018-05-18","23730","23770","23680","23730","95774","23730"
"2018-05-21","23740","23870","23740","23820","131778","23820"
"2018-05-22","23850","23850","23770","23780","53669","23780"
"2018-05-23","23670","23760","23470","23510","89893","23510"
"2018-05-24","23440","23450","23170","23250","107659","23250"
"2018-05-25","23160","23320","23120","23270","80559","23270"
"2018-05-28","23280","23360","23210","23270","44156","23270"
"2018-05-29","23240","23240","23040","23150","68287","23150"
"2018-05-30","22810","22870","22720","22810","69953","22810"
"2018-05-31","22980","23050","22890","23000","19241","23000"
"2018-06-01","22930","23120","22900","22950","37714","22950"
"2018-06-04","23180","23320","23160","23280","26474","23280"
"2018-06-05","23370","23400","23270","23340","12019","23340"
"2018-06-06","23330","23460","23310","23440","24828","23440"
"2018-06-07","23580","23670","23560","23640","28382","23640"
"2018-06-08","23610","23690","23500","23500","26793","23500"
"2018-06-11","23500","23660","23480","23630","22359","23630"
"2018-06-12","23800","23820","23610","23710","106569","23710"
"2018-06-13","23700","23810","23700","23780","76660","23780"
"2018-06-14","23670","23710","23560","23560","26893","23560"
"2018-06-15","23700","23710","23600","23670","29143","23670"
"2018-06-18","23630","23630","23410","23490","30291","23490"
"2018-06-19","23370","23420","23080","23090","61844","23090"
"2018-06-20","23140","23380","22960","23350","57145","23350"
"2018-06-21","23320","23590","23300","23500","71774","23500"
"2018-06-22","23250","23340","23230","23330","31384","23330"
"2018-06-25","23360","23370","23120","23150","39247","23150"
"2018-06-26","22970","23180","22900","23170","60906","23170"
"2018-06-27","23150","23190","23030","23080","51627","23080"
"2018-06-28","23030","23120","22860","23090","41189","23090"
"2018-06-29","23160","23160","22960","23110","32662","23110"
"2018-07-02","23060","23130","22610","22630","155883","22630"
"2018-07-03","22710","22740","22370","22600","109428","22600"
"2018-07-04","22470","22590","22410","22530","64387","22530"
"2018-07-05","22500","22560","22280","22360","135291","22360"
"2018-07-06","22110","22290","22070","22230","61918","22230"
"2018-07-09","22310","22540","22290","22470","76888","22470"
"2018-07-10","22650","22750","22620","22650","52684","22650"
"2018-07-11","22450","22470","22180","22360","46069","22360"
"2018-07-12","22460","22670","22460","22620","24231","22620"
"2018-07-13","22890","23130","22870","23030","220389","23030"
"2018-07-17","23030","23280","23030","23150","69287","23150"
"2018-07-18","23340","23390","23250","23250","56477","23250"
"2018-07-19","23320","23360","23200","23220","67411","23220"
"2018-07-20","23160","23310","22970","23120","132106","23120"
"2018-07-23","22910","22930","22770","22810","40475","22810"
"2018-07-24","23000","23000","22860","22940","27707","22940"
"2018-07-25","23030","23080","22980","23030","30177","23030"
"2018-07-26","23080","23080","22970","23020","29068","23020"
"2018-07-27","23090","23130","23030","23130","17730","23130"
"2018-07-30","23050","23050","22950","22980","31551","22980"
"2018-07-31","22900","23120","22800","23000","42119","23000"
"2018-08-01","23090","23200","23060","23190","16121","23190"
"2018-08-02","23120","23190","22890","22940","53974","22940"
"2018-08-03","23040","23050","22930","22960","14629","22960"
"2018-08-06","22980","23060","22930","22940","15711","22940"
"2018-08-07","22990","23110","22980","23090","12458","23090"
"2018-08-08","23100","23230","23050","23100","31315","23100"
"2018-08-09","23030","23080","22940","23060","12344","23060"
"2018-08-10","23050","23050","22700","22730","71801","22730"
"2018-08-13","22570","23000","22290","22320","93504","22320"
"2018-08-14","22490","22780","22470","22770","49228","22770"
"2018-08-15","22780","22810","22550","22640","25796","22640"
"2018-08-16","22410","22680","22320","22640","63309","22640"
"2018-08-17","22750","22780","22700","22720","32503","22720"
"2018-08-20","22680","22730","22580","22630","17995","22630"
"2018-08-21","22570","22730","22490","22670","17227","22670"
"2018-08-22","22670","22810","22580","22780","16742","22780"
"2018-08-23","22840","22890","22810","22830","9107","22830"
"2018-08-24","22920","23040","22890","23020","45287","23020"
"2018-08-27","23120","23270","23100","23250","126095","23250"
"2018-08-28","23390","23430","23260","23260","62126","23260"
"2018-08-29","23270","23410","23270","23310","36542","23310"
"2018-08-30","23480","23490","23290","23330","60825","23330"
"2018-08-31","23160","23340","23130","23300","26587","23300"
"2018-09-03","23270","23270","23150","23160","63138","23160"
"2018-09-04","23200","23200","23070","23150","10522","23150"
"2018-09-05","23110","23150","23020","23030","20217","23030"
"2018-09-06","22930","22990","22870","22940","26832","22940"
"2018-09-07","22800","22800","22630","22760","115233","22760"
"2018-09-10","22710","22840","22700","22830","92950","22830"
"2018-09-11","22890","23120","22890","23120","56678","23120"
"2018-09-12","23160","23160","22970","23040","25875","23040"
"2018-09-13","23080","23300","23080","23270","110737","23270"
"2018-09-14","23450","23560","23410","23560","40751","23560"
"2018-09-18","23510","23940","23500","23880","150500","23880"
"2018-09-19","24220","24310","24140","24140","130784","24140"
"2018-09-20","24210","24250","24030","24160","147225","24160"
"2018-09-21","24330","24440","24240","24360","92703","24360"
"2018-09-25","24320","24400","24280","24390","52745","24390"
"2018-09-26","24450","24650","24450","24650","138677","24650"
"2018-09-27","24540","24710","24410","24430","99363","24430"
"2018-09-28","24700","24910","24650","24760","176721","24760"
"2018-10-01","24800","24950","24770","24900","110800","24900"
"2018-10-02","25000","25080","24850","24900","142901","24900"
"2018-10-03","24850","24900","24670","24730","64569","24730"
"2018-10-04","24880","24900","24550","24570","117728","24570"
"2018-10-05","24410","24530","24360","24410","62603","24410"
"2018-10-09","24180","24220","24060","24110","84945","24110"
"2018-10-10","24150","24210","24000","24130","68632","24130"
"2018-10-11","23290","23460","23060","23200","215031","23200"
"2018-10-12","23100","23320","23020","23320","201376","23320"
"2018-10-15","23110","23120","22850","22870","177136","22870"
"2018-10-16","22880","23130","22860","23130","109704","23130"
"2018-10-17","23460","23550","23370","23430","47523","23430"
"2018-10-18","23460","23460","23230","23250","73066","23250"
"2018-10-19","22870","23140","22800","23110","59294","23110"
"2018-10-22","22970","23250","22870","23220","50741","23220"
"2018-10-23","23000","23000","22580","22610","148366","22610"
"2018-10-24","22770","22790","22490","22670","92583","22670"
"2018-10-25","22000","22080","21770","21850","274036","21850"
"2018-10-26","22070","22080","21530","21760","175401","21760"
"2018-10-30","21580","22140","21580","22010","69504","22010"
"2018-11-01","22400","22450","22220","22250","46885","22250"
"2018-11-02","22400","22910","22390","22840","76104","22840"
"2018-11-05","22550","22650","22470","22480","69464","22480"
"2018-11-06","22650","22760","22600","22730","20905","22730"
"2018-11-07","22780","23040","22600","22700","110780","22700"
"2018-11-08","23130","23180","23060","23090","135203","23090"
"2018-11-09","23080","23100","22830","22850","30390","22850"
