1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","17740","17940","17600","17790","255587","17790"
"2015-01-06","17440","17480","17260","17280","352141","17280"
"2015-01-07","17160","17350","17150","17280","205294","17280"
"2015-01-08","17450","17640","17390","17560","119813","17560"
"2015-01-09","17720","17750","17510","17590","112756","17590"
"2015-01-13","17320","17460","17210","17450","178124","17450"
"2015-01-14","17310","17410","17140","17150","247557","17150"
"2015-01-15","17210","17520","17210","17470","154703","17470"
"2015-01-16","17120","17240","16960","17230","297643","17230"
"2015-01-19","17390","17420","17290","17400","139075","17400"
"2015-01-20","17450","17750","17440","17740","131112","17740"
"2015-01-21","17690","17710","17570","17650","99319","17650"
"2015-01-22","17690","17740","17610","17710","33177","17710"
"2015-01-23","17910","17930","17840","17880","156780","17880"
"2015-01-26","17680","17860","17660","17840","60604","17840"
"2015-01-27","18020","18160","18020","18140","179824","18140"
"2015-01-28","17990","18250","17990","18190","109570","18190"
"2015-01-29","18030","18180","17970","18000","77197","18000"
"2015-01-30","18160","18200","18060","18070","161060","18070"
"2015-02-02","17910","18020","17860","17940","98811","17940"
"2015-02-03","18050","18060","17670","17720","147853","17720"
"2015-02-04","17970","18130","17930","18060","116404","18060"
"2015-02-05","18000","18020","17880","17900","156807","17900"
"2015-02-06","18090","18100","18000","18020","153325","18020"
"2015-02-09","18180","18200","18050","18100","139157","18100"
"2015-02-10","18020","18060","17940","18040","91190","18040"
"2015-02-12","18330","18400","18310","18380","351505","18380"
"2015-02-13","18300","18360","18260","18320","269103","18320"
"2015-02-16","18410","18470","18380","18400","80400","18400"
"2015-02-17","18330","18410","18300","18390","127594","18390"
"2015-02-18","18510","18610","18490","18600","173543","18600"
"2015-02-19","18650","18730","18640","18680","115733","18680"
"2015-02-20","18740","18770","18700","18740","61371","18740"
"2015-02-23","18910","18920","18810","18870","82875","18870"
"2015-02-24","18880","19010","18840","19000","64060","19000"
"2015-02-25","19050","19070","18970","19000","65333","19000"
"2015-02-26","19000","19220","19000","19200","101739","19200"
"2015-02-27","19260","19290","19140","19220","41637","19220"
"2015-03-02","19300","19410","19200","19240","98417","19240"
"2015-03-03","19350","19350","19160","19240","79518","19240"
"2015-03-04","19130","19160","19020","19120","103413","19120"
"2015-03-05","19100","19190","19070","19160","167883","19160"
"2015-03-06","19250","19400","19240","19390","89020","19390"
