1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
"2015-03-09","19280","19300","19160","19210","296246","19210"
"2015-03-10","19320","19350","18990","19080","140618","19080"
"2015-03-11","18980","19270","18980","19150","123887","19150"
"2015-03-12","19200","19440","19200","19420","71446","19420"
"2015-03-13","19590","19770","19550","19700","130388","19700"
"2015-03-16","19680","19800","19660","19700","68776","19700"
"2015-03-17","19860","19920","19820","19900","102120","19900"
"2015-03-18","19860","20000","19830","19990","95287","19990"
"2015-03-19","19930","20000","19750","19930","193725","19930"
"2015-03-20","19930","20010","19860","20010","93883","20010"
"2015-03-23","20090","20230","20080","20220","86617","20220"
"2015-03-24","20160","20220","20100","20170","118732","20170"
"2015-03-25","20180","20220","19980","20200","93212","20200"
"2015-03-26","20060","20070","19830","19900","162216","19900"
"2015-03-27","19910","20150","19630","19820","142328","19820"
"2015-03-30","19840","20020","19780","19970","225274","19970"
"2015-03-31","20150","20170","19810","19820","219485","19820"
"2015-04-01","19720","19750","19460","19570","519144","19570"
"2015-04-02","19680","19980","19650","19830","256050","19830"
"2015-04-03","19840","19980","19840","19980","101913","19980"
"2015-04-06","19820","19980","19790","19940","87411","19940"
"2015-04-07","20090","20220","20050","20180","260754","20180"
"2015-04-08","20280","20410","20250","20350","86030","20350"
"2015-04-09","20400","20520","20390","20490","101978","20490"
"2015-04-10","20570","20580","20400","20520","120120","20520"
"2015-04-13","20530","20540","20380","20460","71993","20460"
"2015-04-14","20380","20490","20380","20480","55991","20480"
"2015-04-15","20390","20490","20390","20420","63321","20420"
"2015-04-16","20430","20460","20300","20440","101813","20440"
"2015-04-17","20370","20380","20200","20210","120950","20210"
"2015-04-20","20080","20280","20030","20180","103572","20180"
"2015-04-21","20270","20460","20230","20460","88204","20460"
"2015-04-22","20560","20710","20550","20700","160860","20700"
"2015-04-23","20790","20820","20700","20760","78783","20760"
"2015-04-24","20700","20710","20580","20600","61869","20600"
"2015-04-27","20640","20640","20480","20520","43969","20520"
"2015-04-28","20660","20710","20600","20630","88113","20630"
"2015-04-30","20370","20380","20080","20080","413802","20080"
"2015-05-01","20100","20120","19980","20110","152901","20110"
"2015-05-07","19930","20030","19830","19870","181922","19870"
"2015-05-08","19910","20030","19870","19980","112277","19980"
"2015-05-11","20230","20260","20170","20190","64761","20190"
"2015-05-12","20170","20200","20050","20190","87725","20190"
"2015-05-13","20130","20380","20070","20360","139241","20360"
"2015-05-14","20240","20300","20130","20150","66200","20150"
"2015-05-15","20300","20330","20200","20280","60747","20280"
"2015-05-18","20320","20470","20320","20460","84607","20460"
"2015-05-19","20560","20680","20530","20630","211837","20630"
"2015-05-20","20770","20880","20740","20790","122177","20790"
"2015-05-21","20810","20920","20760","20780","159247","20780"
"2015-05-22","20820","20880","20730","20880","80859","20880"
"2015-05-25","20930","21020","20920","21000","89032","21000"
"2015-05-26","21020","21070","20980","21050","146338","21050"
"2015-05-27","20980","21120","20960","21070","90588","21070"
"2015-05-28","21210","21260","21080","21160","71394","21160"
"2015-05-29","21110","21240","21110","21170","95949","21170"
"2015-06-01","21060","21200","21020","21150","70299","21150"
"2015-06-02","21200","21220","21080","21150","99435","21150"
"2015-06-03","21030","21110","21000","21070","74218","21070"
"2015-06-04","21170","21170","21040","21080","48653","21080"
"2015-06-05","21020","21100","20980","21050","66174","21050"
"2015-06-08","21170","21170","20970","21070","36899","21070"
"2015-06-09","20900","20940","20690","20690","332867","20690"
"2015-06-10","20720","20860","20610","20650","237403","20650"
"2015-06-11","20800","20970","20780","20960","103760","20960"
"2015-06-12","21030","21040","20930","21000","71298","21000"
"2015-06-15","20810","20990","20810","20970","80024","20970"
"2015-06-16","20920","20960","20840","20860","27577","20860"
"2015-06-17","20910","20920","20730","20800","45010","20800"
"2015-06-18","20790","20790","20590","20590","144133","20590"
"2015-06-19","20770","20790","20670","20760","117456","20760"
"2015-06-22","20770","21030","20770","21010","103406","21010"
"2015-06-23","21150","21410","21140","21410","165123","21410"
"2015-06-24","21500","21570","21450","21480","112174","21480"
"2015-06-25","21380","21480","21370","21380","73366","21380"
"2015-06-26","21390","21410","21280","21360","35814","21360"
"2015-06-29","20780","20960","20700","20740","465813","20740"
"2015-06-30","20760","20870","20730","20850","117266","20850"
"2015-07-01","20900","20970","20850","20960","65547","20960"
"2015-07-02","21180","21230","21110","21120","68936","21120"
"2015-07-03","21080","21190","21050","21180","51163","21180"
"2015-07-06","20790","20930","20630","20760","253199","20760"
"2015-07-07","21000","21080","20960","20990","70183","20990"
"2015-07-08","20690","20710","20140","20150","262851","20150"
"2015-07-09","19770","20220","19480","20190","238696","20190"
"2015-07-10","20170","20350","20070","20170","76681","20170"
"2015-07-13","20320","20480","20280","20470","70599","20470"
"2015-07-14","20700","20790","20680","20750","136928","20750"
"2015-07-15","20840","20860","20760","20820","102841","20820"
"2015-07-16","20950","20980","20880","20980","123797","20980"
"2015-07-17","21010","21030","20980","21000","58312","21000"
"2015-07-21","21120","21220","21080","21220","80244","21220"
"2015-07-22","21030","21050","20940","20950","52336","20950"
"2015-07-23","21040","21060","21010","21050","12434","21050"
"2015-07-24","20980","21000","20890","20920","23367","20920"
"2015-07-27","20760","20850","20630","20710","49702","20710"
"2015-07-28","20520","20790","20440","20710","123257","20710"
"2015-07-29","20690","20700","20560","20670","39065","20670"
"2015-07-30","20820","20950","20820","20910","45571","20910"
"2015-07-31","20880","20940","20840","20930","37615","20930"
"2015-08-03","20890","20920","20760","20910","55443","20910"
"2015-08-04","20820","20920","20800","20880","36129","20880"
"2015-08-05","20840","21080","20840","20990","90287","20990"
"2015-08-06","21130","21180","21030","21030","67473","21030"
"2015-08-07","20990","21110","20940","21100","54116","21100"
"2015-08-10","20970","21170","20970","21150","65538","21150"
"2015-08-11","21280","21310","20930","21100","116515","21100"
"2015-08-12","21000","21050","20660","20750","188620","20750"
"2015-08-13","20770","21010","20660","20950","155170","20950"
"2015-08-14","20870","20960","20840","20900","44856","20900"
"2015-08-17","20960","21040","20900","20970","22523","20970"
"2015-08-18","21020","21020","20900","20900","39954","20900"
"2015-08-19","20840","20880","20580","20580","112780","20580"
"2015-08-20","20570","20610","20400","20400","221253","20400"
"2015-08-21","20030","20080","19790","19810","439344","19810"
"2015-08-24","20210","20210","18830","18930","415901","18930"
"2015-08-25","18310","19190","18080","18150","618582","18150"
"2015-08-26","18130","18780","18030","18690","286260","18690"
"2015-08-27","19070","19160","18850","18940","174340","18940"
"2015-08-28","19390","19550","19310","19480","97550","19480"
"2015-08-31","19360","19370","19100","19220","69502","19220"
"2015-09-01","19080","19110","18520","18540","208723","18540"
"2015-09-02","18220","18830","18170","18430","267176","18430"
"2015-09-03","18730","18830","18510","18530","65761","18530"
"2015-09-04","18630","18640","17930","18130","203698","18130"
"2015-09-07","18030","18350","17820","18180","153044","18180"
"2015-09-08","18250","18310","17750","17750","158968","17750"
"2015-09-09","18350","19060","18320","19040","303962","19040"
"2015-09-10","18410","18660","18280","18620","155999","18620"
"2015-09-11","18430","18680","18420","18580","64097","18580"
"2015-09-14","18680","18690","18240","18310","59932","18310"
"2015-09-15","18400","18650","18320","18340","74459","18340"
"2015-09-16","18580","18640","18430","18530","140815","18530"
"2015-09-17","18730","18800","18620","18770","71252","18770"
"2015-09-18","18630","18630","18390","18450","109986","18450"
"2015-09-24","18100","18150","17920","17920","324076","17920"
"2015-09-25","17960","18200","17830","18180","114762","18180"
"2015-09-28","18240","18290","18000","18120","79379","18120"
"2015-09-29","17790","17790","17370","17410","171905","17410"
"2015-09-30","17670","17890","17620","17790","113660","17790"
"2015-10-01","17910","18270","17820","18190","90398","18190"
"2015-10-02","18000","18210","17980","18160","44858","18160"
"2015-10-05","18390","18520","18310","18440","160865","18440"
"2015-10-06","18800","18820","18540","18560","96762","18560"
"2015-10-07","18610","18830","18480","18800","126540","18800"
"2015-10-08","18770","18850","18570","18570","48379","18570"
"2015-10-09","18640","18890","18640","18890","76949","18890"
"2015-10-13","18780","18820","18680","18720","40277","18720"
"2015-10-14","18570","18570","18290","18350","53800","18350"
"2015-10-15","18240","18620","18200","18510","44598","18510"
"2015-10-16","18720","18840","18690","18710","78177","18710"
"2015-10-19","18780","18780","18540","18600","112964","18600"
"2015-10-20","18710","18720","18590","18680","26708","18680"
"2015-10-21","18610","19060","18610","19000","135513","19000"
"2015-10-22","18880","19040","18830","18910","38099","18910"
"2015-10-23","19310","19390","19260","19310","100456","19310"
"2015-10-26","19530","19560","19400","19420","79267","19420"
"2015-10-27","19430","19430","19220","19260","48570","19260"
"2015-10-28","19300","19390","19270","19380","67111","19380"
"2015-10-29","19530","19550","19280","19400","78073","19400"
"2015-10-30","19390","19680","19240","19570","203174","19570"
"2015-11-02","19290","19330","19100","19160","87255","19160"
"2015-11-04","19490","19630","19390","19410","150333","19410"
"2015-11-05","19500","19630","19460","19600","80184","19600"
"2015-11-06","19660","19770","19640","19730","88825","19730"
"2015-11-09","19900","20170","19890","20140","239868","20140"
"2015-11-10","19930","20170","19920","20170","60359","20170"
"2015-11-11","20090","20210","20090","20210","56388","20210"
"2015-11-12","20100","20200","20080","20200","83802","20200"
"2015-11-13","19970","20100","19870","20090","114704","20090"
"2015-11-16","19710","19930","19710","19880","35965","19880"
"2015-11-17","20170","20210","20120","20150","75227","20150"
"2015-11-18","20260","20330","20130","20160","99301","20160"
"2015-11-19","20360","20450","20250","20340","96455","20340"
"2015-11-20","20290","20340","20200","20330","34386","20330"
"2015-11-24","20370","20450","20330","20430","38637","20430"
"2015-11-25","20360","20370","20280","20330","40536","20330"
"2015-11-26","20410","20490","20410","20430","128572","20430"
"2015-11-27","20480","20480","20320","20360","19247","20360"
"2015-11-30","20350","20360","20190","20240","36567","20240"
"2015-12-01","20330","20480","20300","20460","41472","20460"
"2015-12-02","20450","20480","20420","20440","29726","20440"
"2015-12-03","20390","20460","20350","20420","22842","20420"
"2015-12-04","20070","20140","19930","19980","165810","19980"
"2015-12-07","20210","20290","20170","20200","41623","20200"
"2015-12-08","20190","20260","19950","19970","115518","19970"
"2015-12-09","19860","19950","19740","19800","94837","19800"
"2015-12-10","19560","19610","19500","19540","129541","19540"
"2015-12-11","19530","19760","19490","19690","41879","19690"
"2015-12-14","19250","19390","19080","19360","156915","19360"
"2015-12-15","19350","19370","19030","19070","125857","19070"
"2015-12-16","19350","19530","19340","19510","92760","19510"
"2015-12-17","19910","19990","19800","19840","117028","19840"
"2015-12-18","19790","20390","19450","19490","168713","19490"
"2015-12-21","19340","19450","19100","19420","117418","19420"
"2015-12-22","19390","19410","19290","19350","27389","19350"
"2015-12-24","19560","19560","19240","19260","31707","19260"
"2015-12-25","19290","19340","19210","19230","44537","19230"
"2015-12-28","19310","19410","19250","19350","25457","19350"
"2015-12-29","19350","19480","19270","19460","40345","19460"
"2015-12-30","19560","19600","19510","19520","32171","19520"
