1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","19320","19450","18860","18960","240910","18960"
"2016-01-05","18900","19040","18820","18860","60833","18860"
"2016-01-06","18890","18950","18530","18690","163420","18690"
"2016-01-07","18590","18660","18240","18240","201004","18240"
"2016-01-08","18070","18460","18000","18170","213395","18170"
"2016-01-12","17900","18010","17650","17700","167087","17700"
"2016-01-13","17910","18190","17900","18190","79970","18190"
"2016-01-14","17680","17740","17380","17710","199301","17710"
"2016-01-15","18000","18070","17510","17590","81414","17590"
"2016-01-18","17230","17490","17110","17410","135561","17410"
"2016-01-19","17360","17540","17250","17490","106842","17490"
"2016-01-20","17490","17490","16820","16870","223775","16870"
"2016-01-21","16910","17190","16450","16500","259041","16500"
"2016-01-22","17010","17440","16900","17410","172508","17410"
"2016-01-25","17610","17660","17360","17560","189888","17560"
"2016-01-26","17250","17260","17080","17140","84397","17140"
"2016-01-27","17480","17690","17400","17590","96252","17590"
"2016-01-28","17500","17690","17380","17510","72326","17510"
"2016-01-29","17560","18290","17180","18020","438159","18020"
"2016-02-01","18290","18370","18170","18330","193526","18330"
"2016-02-02","18130","18320","18120","18200","159915","18200"
"2016-02-03","17870","17920","17520","17660","140011","17660"
"2016-02-04","17460","17660","17380","17470","99318","17470"
"2016-02-05","17230","17330","17060","17270","104102","17270"
"2016-02-08","17030","17540","16970","17430","87452","17430"
"2016-02-09","16790","16820","16450","16530","296036","16530"
"2016-02-10","16580","16590","15820","16070","349020","16070"
"2016-02-12","15590","15680","15250","15330","512058","15330"
"2016-02-15","15950","16580","15890","16430","317023","16430"
"2016-02-16","16280","16760","16240","16450","204045","16450"
"2016-02-17","16410","16630","16030","16230","190417","16230"
"2016-02-18","16700","16760","16520","16620","154238","16620"
"2016-02-19","16410","16440","16200","16400","132793","16400"
"2016-02-22","16230","16610","16220","16530","93018","16530"
"2016-02-23","16640","16770","16420","16490","184922","16490"
