1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
"2016-02-24","16270","16410","16150","16330","99821","16330"
"2016-02-25","16390","16650","16370","16580","95649","16580"
"2016-02-26","16760","16910","16610","16630","185339","16630"
"2016-02-29","16780","16890","16470","16470","97329","16470"
"2016-03-01","16450","16520","16270","16510","79524","16510"
"2016-03-02","16960","17250","16910","17170","197182","17170"
"2016-03-03","17130","17410","17130","17390","141307","17390"
"2016-03-04","17360","17500","17310","17440","64413","17440"
"2016-03-07","17480","17500","17340","17370","36399","17370"
"2016-03-08","17330","17350","17010","17230","102645","17230"
"2016-03-09","17080","17150","16930","17090","99412","17090"
"2016-03-10","17240","17320","17150","17290","53806","17290"
"2016-03-11","17000","17470","17000","17400","107187","17400"
"2016-03-14","17620","17750","17600","17680","95485","17680"
"2016-03-15","17680","17750","17490","17570","65400","17570"
"2016-03-16","17420","17550","17400","17430","78860","17430"
"2016-03-17","17560","17700","17250","17380","165401","17380"
"2016-03-18","17340","17360","17050","17150","90472","17150"
"2016-03-22","17410","17550","17290","17490","89323","17490"
"2016-03-23","17500","17580","17410","17460","44571","17460"
"2016-03-24","17390","17490","17290","17320","41647","17320"
"2016-03-25","17400","17470","17340","17430","47356","17430"
"2016-03-28","17570","17630","17400","17540","74208","17540"
"2016-03-29","17550","17710","17530","17680","106068","17680"
"2016-03-30","17640","17650","17450","17470","55637","17470"
"2016-03-31","17590","17610","17330","17350","121049","17350"
"2016-04-01","17300","17300","16650","16690","216710","16690"
"2016-04-04","16650","16790","16580","16670","78920","16670"
"2016-04-05","16600","16610","16230","16260","155065","16260"
"2016-04-06","16250","16370","16140","16260","91231","16260"
"2016-04-07","16260","16410","16160","16270","83720","16270"
"2016-04-08","16030","16580","16000","16360","134775","16360"
"2016-04-11","16300","16320","16050","16300","92987","16300"
"2016-04-12","16280","16500","16230","16480","66272","16480"
"2016-04-13","16700","16960","16690","16940","88268","16940"
"2016-04-14","17220","17480","17170","17470","116980","17470"
"2016-04-15","17280","17500","17280","17380","134083","17380"
"2016-04-18","16860","17010","16810","16850","82140","16850"
"2016-04-19","17300","17470","17300","17470","65003","17470"
"2016-04-20","17610","17680","17440","17490","102434","17490"
"2016-04-21","17860","17980","17760","17920","118504","17920"
"2016-04-22","17780","18170","17780","18140","135886","18140"
"2016-04-25","18220","18220","17990","18030","62081","18030"
"2016-04-26","17970","18020","17790","17940","43449","17940"
"2016-04-27","17980","18020","17820","17900","44024","17900"
"2016-04-28","18050","18170","17170","17240","166399","17240"
"2016-05-02","16520","16720","16500","16700","93405","16700"
"2016-05-06","16770","16820","16530","16660","71190","16660"
"2016-05-09","16800","16850","16710","16770","29151","16770"
"2016-05-10","16850","17140","16770","17130","68873","17130"
"2016-05-11","17300","17380","17100","17120","51623","17120"
"2016-05-12","17000","17230","16930","17210","59501","17210"
"2016-05-13","17280","17360","16950","16980","106513","16980"
"2016-05-16","16990","17200","16970","17010","71101","17010"
"2016-05-17","17210","17230","17070","17210","45887","17210"
"2016-05-18","17170","17370","17070","17240","164296","17240"
"2016-05-19","17390","17420","17170","17210","40530","17210"
"2016-05-20","17170","17350","17120","17310","47073","17310"
"2016-05-23","17260","17270","16980","17230","61653","17230"
"2016-05-24","17180","17180","17030","17060","47404","17060"
"2016-05-25","17380","17390","17300","17340","79285","17340"
"2016-05-26","17520","17540","17310","17330","32132","17330"
"2016-05-27","17430","17480","17370","17400","50964","17400"
"2016-05-30","17550","17640","17480","17640","43158","17640"
"2016-05-31","17600","17840","17570","17810","60075","17810"
"2016-06-01","17680","17720","17470","17530","68643","17530"
"2016-06-02","17390","17390","17090","17130","104731","17130"
"2016-06-03","17170","17280","17120","17210","51921","17210"
"2016-06-06","16910","17150","16860","17150","56603","17150"
"2016-06-07","17200","17260","17090","17220","38551","17220"
"2016-06-08","17270","17390","17140","17380","33267","17380"
"2016-06-09","17290","17350","17140","17230","22548","17230"
"2016-06-10","17210","17210","17060","17160","35648","17160"
"2016-06-13","16870","16870","16580","16590","84845","16590"
"2016-06-14","16530","16640","16310","16400","132640","16400"
"2016-06-15","16340","16540","16290","16490","38075","16490"
"2016-06-16","16400","16460","15930","15960","108138","15960"
"2016-06-17","16220","16320","16130","16140","69543","16140"
"2016-06-20","16400","16580","16400","16490","52346","16490"
"2016-06-21","16400","16750","16310","16720","52154","16720"
"2016-06-22","16640","16700","16510","16610","31709","16610"
"2016-06-23","16660","16820","16590","16780","71804","16780"
"2016-06-24","16900","16960","15360","15490","246431","15490"
"2016-06-27","15680","15860","15580","15860","101974","15860"
"2016-06-28","15630","16000","15530","15870","151082","15870"
"2016-06-29","16100","16180","15950","16130","58197","16130"
"2016-06-30","16320","16340","16150","16150","34026","16150"
"2016-07-01","16260","16320","16190","16240","42516","16240"
"2016-07-04","16100","16360","16100","16330","41402","16330"
"2016-07-05","16220","16250","16150","16230","41264","16230"
"2016-07-06","15690","15710","15440","15660","150602","15660"
"2016-07-07","15640","15690","15510","15560","32546","15560"
"2016-07-08","15610","15670","15390","15390","38869","15390"
"2016-07-11","15750","16100","15750","16030","86779","16030"
"2016-07-12","16300","16530","16300","16380","139438","16380"
"2016-07-13","16740","16770","16480","16510","87147","16510"
"2016-07-14","16540","16690","16520","16680","55974","16680"
"2016-07-15","16750","16890","16700","16790","80773","16790"
"2016-07-19","16900","17020","16800","17010","67031","17010"
"2016-07-20","16930","16980","16840","16970","53249","16970"
"2016-07-21","17170","17230","17030","17110","98347","17110"
"2016-07-22","16860","16980","16850","16890","49085","16890"
"2016-07-25","16950","17070","16900","16910","22226","16910"
"2016-07-26","16830","16840","16590","16680","72492","16680"
"2016-07-27","16870","17120","16840","16960","148933","16960"
"2016-07-28","16870","16900","16740","16760","36219","16760"
"2016-07-29","16730","16990","16440","16840","197478","16840"
"2016-08-01","16650","16970","16610","16910","87435","16910"
"2016-08-02","16750","16820","16670","16680","85032","16680"
"2016-08-03","16470","16550","16340","16340","107312","16340"
"2016-08-04","16430","16550","16190","16550","87171","16550"
"2016-08-05","16540","16640","16500","16520","81564","16520"
"2016-08-08","16810","16930","16780","16930","77446","16930"
"2016-08-09","16930","17070","16920","17060","56551","17060"
"2016-08-10","16980","17110","16940","17020","29926","17020"
"2016-08-12","17140","17240","17120","17200","153657","17200"
"2016-08-15","17170","17220","17140","17160","22320","17160"
"2016-08-16","17180","17180","16890","16890","42649","16890"
"2016-08-17","16890","17050","16890","17030","39033","17030"
"2016-08-18","16910","17010","16770","16770","69231","16770"
"2016-08-19","16860","16900","16740","16830","91452","16830"
"2016-08-22","16880","16920","16830","16870","43704","16870"
"2016-08-23","16820","16950","16740","16780","30537","16780"
"2016-08-24","16900","16930","16830","16860","45090","16860"
"2016-08-25","16880","16910","16810","16850","57248","16850"
"2016-08-26","16780","16790","16620","16660","95365","16660"
"2016-08-29","17000","17070","16970","17030","70368","17030"
"2016-08-30","16990","17050","16990","17050","26705","17050"
"2016-08-31","17180","17220","17140","17200","191808","17200"
"2016-09-01","17180","17240","17160","17210","45588","17210"
"2016-09-02","17190","17240","17160","17210","56384","17210"
"2016-09-05","17440","17460","17310","17320","78621","17320"
"2016-09-06","17350","17400","17340","17380","24770","17380"
"2016-09-07","17220","17330","17200","17330","137481","17330"
"2016-09-08","17320","17320","17140","17280","98343","17280"
"2016-09-09","17290","17320","17210","17270","92764","17270"
"2016-09-12","17060","17100","16900","16960","114182","16960"
"2016-09-13","17080","17100","16960","17020","64311","17020"
"2016-09-14","16930","17010","16890","16910","72371","16910"
"2016-09-15","16830","16830","16650","16700","55156","16700"
"2016-09-16","16750","16820","16720","16810","29904","16810"
"2016-09-20","16710","16880","16700","16780","45984","16780"
"2016-09-21","16740","17120","16670","17120","189537","17120"
"2016-09-23","17070","17100","17020","17030","43802","17030"
"2016-09-26","16990","17010","16810","16820","51097","16820"
"2016-09-27","16700","16960","16580","16960","160454","16960"
"2016-09-28","16880","16920","16790","16840","214352","16840"
"2016-09-29","17020","17170","17000","17110","160329","17110"
"2016-09-30","16910","16910","16810","16860","118678","16860"
"2016-10-03","16990","17060","16970","17020","37259","17020"
"2016-10-04","17090","17160","17050","17120","35107","17120"
"2016-10-05","17200","17260","17130","17250","66577","17250"
"2016-10-06","17350","17390","17300","17320","87192","17320"
"2016-10-07","17290","17310","17230","17280","92247","17280"
"2016-10-11","17370","17500","17350","17460","190042","17460"
"2016-10-12","17290","17360","17260","17260","65760","17260"
"2016-10-13","17340","17400","17160","17170","59522","17170"
"2016-10-17","17290","17360","17240","17330","19066","17330"
"2016-10-19","17360","17430","17350","17430","38500","17430"
"2016-10-20","17410","17660","17410","17660","272032","17660"
"2016-10-21","17700","17730","17580","17610","91261","17610"
"2016-10-24","17680","17680","17590","17650","36485","17650"
"2016-10-25","17750","17810","17720","17810","89551","17810"
"2016-10-26","17750","17820","17730","17820","23099","17820"
"2016-10-27","17780","17840","17710","17780","121192","17780"
"2016-10-28","17870","17900","17840","17890","68247","17890"
"2016-10-31","17800","17860","17760","17860","35998","17860"
"2016-11-01","17840","17920","17770","17880","31063","17880"
"2016-11-02","17670","17710","17500","17560","111977","17560"
"2016-11-04","17410","17420","17230","17320","83970","17320"
"2016-11-07","17590","17620","17500","17620","34010","17620"
"2016-11-08","17680","17680","17560","17600","45096","17600"
"2016-11-09","17740","17870","16510","16680","494463","16680"
"2016-11-10","17750","17830","17540","17760","328834","17760"
"2016-11-11","17970","18050","17770","17800","163370","17800"
"2016-11-14","17930","18140","17910","18110","150613","18110"
"2016-11-15","18140","18160","18040","18100","86890","18100"
"2016-11-16","18280","18330","18250","18320","137174","18320"
"2016-11-17","18230","18330","18210","18320","139600","18320"
"2016-11-18","18510","18510","18420","18420","102021","18420"
"2016-11-21","18490","18580","18450","18550","148510","18550"
"2016-11-22","18520","18620","18500","18620","50077","18620"
"2016-11-24","18810","18830","18770","18800","152153","18800"
"2016-11-25","18840","18940","18750","18850","96799","18850"
"2016-11-28","18770","18840","18670","18800","94901","18800"
"2016-11-29","18680","18780","18680","18770","43193","18770"
"2016-11-30","18800","18820","18730","18750","32838","18750"
"2016-12-01","19050","19210","18920","18950","172226","18950"
"2016-12-02","18900","18930","18770","18880","60463","18880"
"2016-12-05","18790","18830","18690","18720","136209","18720"
"2016-12-06","18930","18960","18770","18820","79399","18820"
"2016-12-07","18890","18960","18870","18960","52309","18960"
"2016-12-08","19140","19230","19070","19230","83711","19230"
"2016-12-09","19260","19510","19260","19490","152474","19490"
"2016-12-12","19690","19750","19520","19640","99852","19640"
"2016-12-13","19560","19740","19530","19730","62746","19730"
"2016-12-14","19750","19760","19650","19720","38468","19720"
"2016-12-15","19800","19920","19670","19770","147286","19770"
"2016-12-16","19900","19920","19830","19890","74216","19890"
"2016-12-19","19800","19880","19780","19880","26153","19880"
"2016-12-20","19860","19990","19840","19970","57808","19970"
"2016-12-21","20030","20080","19860","19940","99417","19940"
"2016-12-22","19890","19900","19800","19890","54691","19890"
"2016-12-26","19890","19910","19870","19870","54074","19870"
"2016-12-27","19830","19960","19830","19900","60368","19900"
"2016-12-28","19910","19950","19880","19910","72761","19910"
"2016-12-29","19810","19820","19590","19660","94190","19660"
"2016-12-30","19490","19680","19480","19590","55611","19590"
