1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
"2014-03-10","15510","15590","15400","15420","157636","15420"
"2014-03-11","15510","15580","15440","15530","74998","15530"
"2014-03-12","15310","15320","15130","15160","228905","15160"
"2014-03-13","15170","15230","15100","15140","96077","15140"
"2014-03-14","14810","14830","14590","14640","367568","14640"
"2014-03-17","14590","14680","14510","14590","228817","14590"
"2014-03-18","14840","14850","14700","14740","63089","14740"
"2014-03-19","14810","14980","14600","14790","167935","14790"
"2014-03-20","14850","14860","14500","14540","172826","14540"
"2014-03-24","14590","14820","14580","14760","99808","14760"
"2014-03-25","14680","14830","14610","14740","121662","14740"
"2014-03-26","14820","14870","14700","14760","106998","14760"
"2014-03-27","14660","15070","14630","15050","195965","15050"
"2014-03-28","14950","15130","14940","15090","124527","15090"
"2014-03-31","15240","15260","15130","15220","102913","15220"
"2014-04-01","15270","15270","15160","15200","240271","15200"
"2014-04-02","15300","15490","15300","15370","410115","15370"
"2014-04-03","15430","15590","15400","15480","266921","15480"
"2014-04-04","15400","15520","15400","15470","127295","15470"
"2014-04-07","15280","15310","15180","15230","115780","15230"
"2014-04-08","15140","15160","15020","15020","253740","15020"
"2014-04-09","14850","14910","14690","14720","417053","14720"
"2014-04-10","14910","14910","14640","14710","222437","14710"
"2014-04-11","14320","14420","14270","14340","481304","14340"
"2014-04-14","14270","14410","14260","14310","128365","14310"
"2014-04-15","14480","14490","14370","14390","104317","14390"
"2014-04-16","14570","14820","14560","14820","143246","14820"
"2014-04-17","14790","14900","14750","14820","96597","14820"
"2014-04-18","14900","14940","14850","14910","99518","14910"
"2014-04-21","14940","15050","14900","14910","189327","14910"
"2014-04-22","14970","15010","14780","14800","86789","14800"
"2014-04-23","14900","14950","14860","14940","69654","14940"
"2014-04-24","14950","14970","14760","14810","104048","14810"
"2014-04-25","14770","14960","14730","14830","80144","14830"
"2014-04-28","14680","14720","14610","14690","97877","14690"
"2014-04-30","14810","14830","14670","14700","73711","14700"
"2014-05-01","14730","14900","14730","14880","70646","14880"
"2014-05-02","14830","14870","14810","14850","82948","14850"
"2014-05-07","14670","14680","14440","14450","407095","14450"
"2014-05-08","14560","14650","14510","14560","128348","14560"
"2014-05-09","14500","14670","14490","14590","92623","14590"
"2014-05-12","14580","14640","14520","14550","70649","14550"
"2014-05-13","14790","14870","14770","14810","111137","14810"
"2014-05-14","14800","14820","14750","14800","59557","14800"
"2014-05-15","14670","14710","14590","14690","100909","14690"
"2014-05-16","14490","14510","14410","14480","248706","14480"
"2014-05-19","14540","14550","14390","14400","92873","14400"
"2014-05-20","14480","14540","14440","14470","38753","14470"
"2014-05-21","14370","14460","14350","14440","78017","14440"
"2014-05-22","14580","14780","14550","14730","267691","14730"
"2014-05-23","14780","14930","14780","14860","230253","14860"
"2014-05-26","14980","15000","14930","14990","60687","14990"
"2014-05-27","15010","15150","14990","15040","298985","15040"
"2014-05-28","15040","15130","15010","15080","46238","15080"
"2014-05-29","14980","15120","14980","15080","88488","15080"
"2014-05-30","15120","15160","15000","15030","148129","15030"
"2014-06-02","15170","15380","15170","15340","164586","15340"
"2014-06-03","15500","15510","15450","15460","133558","15460"
"2014-06-04","15490","15490","15410","15480","92492","15480"
"2014-06-05","15540","15560","15430","15500","139923","15500"
"2014-06-06","15540","15560","15460","15490","187414","15490"
"2014-06-09","15610","15630","15540","15540","108353","15540"
"2014-06-10","15550","15600","15380","15410","97843","15410"
"2014-06-11","15420","15490","15410","15480","86562","15480"
"2014-06-12","15360","15410","15270","15390","113687","15390"
"2014-06-13","15250","15540","15240","15510","208360","15510"
"2014-06-16","15450","15470","15280","15350","66355","15350"
"2014-06-17","15380","15450","15370","15390","56807","15390"
"2014-06-18","15420","15560","15410","15540","53918","15540"
"2014-06-19","15570","15800","15560","15780","320988","15780"
"2014-06-20","15760","15850","15730","15780","102854","15780"
"2014-06-23","15850","15880","15760","15780","159999","15780"
"2014-06-24","15720","15860","15680","15800","233909","15800"
"2014-06-25","15720","15770","15680","15680","134513","15680"
"2014-06-26","15750","15770","15710","15730","52501","15730"
"2014-06-27","15720","15730","15460","15520","246042","15520"
"2014-06-30","15590","15620","15490","15580","66500","15580"
"2014-07-01","15610","15830","15580","15770","196109","15770"
"2014-07-02","15830","15890","15790","15800","150504","15800"
"2014-07-03","15850","15860","15770","15790","78630","15790"
"2014-07-04","15980","15980","15860","15900","120718","15900"
"2014-07-07","15880","15920","15830","15870","120680","15870"
"2014-07-08","15560","15640","15470","15580","119151","15580"
"2014-07-09","15440","15540","15430","15530","39680","15530"
"2014-07-10","15550","15580","15460","15470","14554","15470"
"2014-07-11","15350","15450","15340","15410","85489","15410"
"2014-07-14","15440","15570","15420","15550","60060","15550"
"2014-07-15","15600","15680","15580","15620","86366","15620"
"2014-07-16","15600","15660","15600","15610","26432","15610"
"2014-07-17","15660","15700","15580","15600","38050","15600"
"2014-07-18","15410","15460","15350","15460","187756","15460"
"2014-07-22","15520","15620","15520","15560","126469","15560"
"2014-07-23","15580","15610","15550","15550","33880","15550"
"2014-07-24","15570","15620","15460","15510","68780","15510"
"2014-07-25","15600","15700","15570","15680","75636","15680"
"2014-07-28","15650","15790","15650","15760","82330","15760"
"2014-07-29","15800","15880","15800","15860","99275","15860"
"2014-07-30","15880","15910","15830","15880","64652","15880"
"2014-07-31","15980","16000","15860","15880","124032","15880"
"2014-08-01","15750","15850","15740","15780","173019","15780"
"2014-08-04","15730","15770","15670","15720","95471","15720"
"2014-08-05","15750","15750","15550","15570","109564","15570"
"2014-08-06","15510","15510","15360","15420","192486","15420"
"2014-08-07","15370","15480","15290","15450","171738","15450"
"2014-08-08","15280","15310","14980","15030","521237","15030"
"2014-08-11","15330","15390","15210","15360","82470","15360"
"2014-08-12","15390","15470","15350","15390","50080","15390"
"2014-08-13","15370","15470","15350","15450","20463","15450"
"2014-08-14","15510","15570","15510","15550","134056","15550"
"2014-08-15","15550","15560","15520","15540","25867","15540"
"2014-08-18","15570","15600","15530","15550","63453","15550"
"2014-08-19","15690","15710","15670","15690","81804","15690"
"2014-08-20","15720","15730","15660","15700","49690","15700"
"2014-08-21","15760","15840","15750","15810","184722","15810"
"2014-08-22","15840","15870","15770","15780","227401","15780"
"2014-08-25","15820","15870","15790","15840","63411","15840"
"2014-08-26","15840","15850","15750","15760","83670","15760"
"2014-08-27","15790","15820","15710","15770","28518","15770"
"2014-08-28","15730","15730","15670","15700","58599","15700"
"2014-08-29","15650","15690","15590","15660","115049","15660"
"2014-09-01","15700","15730","15680","15710","26609","15710"
"2014-09-02","15760","15990","15760","15900","219915","15900"
"2014-09-03","16020","16080","15960","15980","270580","15980"
"2014-09-04","15960","15970","15910","15930","25013","15930"
"2014-09-05","16040","16050","15890","15930","63239","15930"
"2014-09-08","15960","15970","15900","15940","38797","15940"
"2014-09-09","16040","16040","15980","15980","82771","15980"
"2014-09-10","15900","16040","15900","16020","46518","16020"
"2014-09-11","16140","16170","16100","16160","204421","16160"
"2014-09-12","16200","16230","16120","16190","135714","16190"
"2014-09-16","16160","16190","16110","16160","55321","16160"
"2014-09-17","16210","16220","16140","16150","32417","16150"
"2014-09-18","16270","16360","16240","16320","117129","16320"
"2014-09-19","16420","16620","16420","16570","210607","16570"
"2014-09-22","16500","16540","16420","16470","46606","16470"
"2014-09-24","16330","16460","16330","16420","62496","16420"
"2014-09-25","16590","16620","16560","16600","53692","16600"
"2014-09-26","16440","16590","16430","16580","78988","16580"
"2014-09-29","16700","16700","16610","16650","31221","16650"
"2014-09-30","16580","16590","16400","16500","140165","16500"
"2014-10-01","16510","16580","16420","16440","137273","16440"
"2014-10-02","16260","16260","15980","16000","623193","16000"
"2014-10-03","15970","16050","15900","16050","221120","16050"
"2014-10-06","16230","16320","16150","16230","219091","16230"
"2014-10-07","16160","16260","16100","16130","119277","16130"
"2014-10-08","15900","15980","15860","15950","213287","15950"
"2014-10-09","16020","16070","15800","15830","206907","15830"
"2014-10-10","15630","15670","15550","15630","309310","15630"
"2014-10-14","15280","15420","15250","15270","452481","15270"
"2014-10-15","15340","15410","15230","15400","190323","15400"
"2014-10-16","15030","15120","14990","15070","417071","15070"
"2014-10-17","15120","15150","14840","14850","358901","14850"
"2014-10-20","15250","15430","15210","15420","211265","15420"
"2014-10-21","15440","15440","15080","15130","390957","15130"
"2014-10-22","15380","15520","15330","15500","160268","15500"
"2014-10-23","15440","15560","15390","15480","115502","15480"
"2014-10-24","15700","15710","15560","15610","178779","15610"
"2014-10-27","15720","15760","15660","15720","212116","15720"
"2014-10-28","15680","15700","15590","15640","107802","15640"
"2014-10-29","15740","15920","15680","15870","373597","15870"
"2014-10-30","15920","16030","15920","15990","177391","15990"
"2014-10-31","16160","16860","16160","16760","1131133","16760"
"2014-11-04","17460","17500","17220","17220","592886","17220"
"2014-11-05","17130","17370","17130","17320","172009","17320"
"2014-11-06","17370","17420","17080","17150","292408","17150"
"2014-11-07","17290","17310","17190","17250","72860","17250"
"2014-11-10","17110","17180","17070","17130","81487","17130"
"2014-11-11","17220","17530","17220","17470","380462","17470"
"2014-11-12","17620","17820","17530","17570","436502","17570"
"2014-11-13","17540","17780","17480","17760","154241","17760"
"2014-11-14","17840","17870","17660","17840","442634","17840"
"2014-11-17","17780","17780","17260","17340","559422","17340"
"2014-11-18","17570","17730","17550","17730","172129","17730"
"2014-11-19","17740","17850","17650","17670","150386","17670"
"2014-11-20","17770","17790","17640","17680","78026","17680"
"2014-11-21","17650","17760","17470","17740","185362","17740"
"2014-11-25","17860","17860","17740","17770","184534","17770"
"2014-11-26","17700","17810","17690","17770","135465","17770"
"2014-11-27","17690","17720","17570","17630","96214","17630"
"2014-11-28","17690","17840","17690","17830","245483","17830"
"2014-12-01","17830","18020","17820","17960","118990","17960"
"2014-12-02","17830","18070","17830","18040","141163","18040"
"2014-12-03","18150","18270","18070","18100","128013","18100"
"2014-12-04","18260","18290","18190","18250","99505","18250"
"2014-12-05","18190","18310","18140","18310","126470","18310"
"2014-12-08","18370","18410","18240","18320","127344","18320"
"2014-12-09","18180","18280","18150","18190","215119","18190"
"2014-12-10","17970","18010","17680","17800","310810","17800"
"2014-12-11","17530","17660","17400","17650","229649","17650"
"2014-12-12","17680","17910","17650","17760","214071","17760"
"2014-12-15","17450","17630","17390","17460","329619","17460"
"2014-12-16","17210","17260","17070","17100","350217","17100"
"2014-12-17","17030","17250","17010","17180","249443","17180"
"2014-12-18","17560","17640","17530","17580","163635","17580"
"2014-12-19","17920","17990","17840","17990","223718","17990"
"2014-12-22","18050","18070","17940","17990","52720","17990"
"2014-12-24","18200","18250","18170","18210","101653","18210"
"2014-12-25","18150","18210","18140","18160","67167","18160"
"2014-12-26","18160","18250","18160","18220","64975","18220"
"2014-12-29","18300","18310","17900","18130","150121","18130"
"2014-12-30","18110","18110","17840","17860","129657","17860"
