1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","16440","16470","16180","16230","381992","16230"
"2014-01-07","16140","16260","16100","16130","288940","16130"
"2014-01-08","16280","16460","16230","16460","204036","16460"
"2014-01-09","16300","16320","16160","16210","260892","16210"
"2014-01-10","16160","16260","16080","16240","231187","16240"
"2014-01-14","15850","15910","15690","15730","548107","15730"
"2014-01-15","15980","16120","15950","16110","172274","16110"
"2014-01-16","16160","16260","16030","16060","168447","16060"
"2014-01-17","15990","16100","15940","16060","104852","16060"
"2014-01-20","16040","16040","15890","15970","122463","15970"
"2014-01-21","16030","16220","16030","16130","156383","16130"
"2014-01-22","16070","16190","15940","16170","149547","16170"
"2014-01-23","16240","16280","16020","16030","109961","16030"
"2014-01-24","15780","15810","15600","15710","583777","15710"
"2014-01-27","15310","15410","15250","15320","368137","15320"
"2014-01-28","15350","15400","15280","15310","198449","15310"
"2014-01-29","15530","15700","15510","15690","127250","15690"
"2014-01-30","15330","15350","15170","15320","277625","15320"
"2014-01-31","15460","15480","15070","15220","207105","15220"
"2014-02-03","15080","15160","14920","14950","185514","14950"
"2014-02-04","14510","14610","14320","14330","294318","14330"
"2014-02-05","14600","14600","14290","14470","216859","14470"
"2014-02-06","14520","14610","14440","14450","178117","14450"
"2014-02-07","14700","14770","14650","14750","124422","14750"
"2014-02-10","14980","15030","14870","15020","119342","15020"
"2014-02-12","15150","15180","15060","15090","191499","15090"
"2014-02-13","15070","15080","14780","14820","172435","14820"
"2014-02-14","14830","14980","14530","14620","303347","14620"
"2014-02-17","14640","14720","14490","14680","217230","14680"
"2014-02-18","14800","15200","14750","15130","343356","15130"
"2014-02-19","15000","15110","14970","15060","157540","15060"
"2014-02-20","14990","15030","14720","14760","222503","14760"
"2014-02-21","14910","15200","14910","15160","231299","15160"
"2014-02-24","15090","15290","14950","15130","282595","15130"
"2014-02-25","15290","15390","15250","15350","165814","15350"
"2014-02-26","15200","15390","15190","15280","122367","15280"
"2014-02-27","15240","15330","15150","15230","61047","15230"
"2014-02-28","15220","15250","15050","15150","143179","15150"
"2014-03-03","14970","14990","14730","14940","287609","14940"
"2014-03-04","14840","15060","14840","15020","125207","15020"
"2014-03-05","15250","15300","15210","15210","91881","15210"
"2014-03-06","15260","15520","15170","15450","190248","15450"
"2014-03-07","15580","15630","15460","15590","139818","15590"
